Session,Coupling,Region,PAC,TAR,ΔvsBaseline,dPAC_vs_baseline
PLANT_KINGDOM_INDOOR,Theta→Gamma,Frontal,0.3307454911233344,0.6875563707028259,0.04846863940343821,0.04846863940343821
PLANT_KINGDOM_INDOOR,Theta→Gamma,Temporal,0.327078418521677,0.6741261748563321,0.04596949578724463,0.04596949578724463
PLANT_KINGDOM_INDOOR,Theta→Gamma,Central,0.2818649176755107,0.6205883014058527,-0.000518562274995582,-0.000518562274995582
PLANT_KINGDOM_INDOOR,Theta→Gamma,Parietal,0.3271392121981795,0.3642134448451705,0.045901539310364114,0.045901539310364114
PLANT_KINGDOM_INDOOR,Theta→Gamma,Occipital,0.282557844547104,0.17053397056942973,0.0014056981991619755,0.0014056981991619755
PLANT_KINGDOM_INDOOR,Alpha→BetaH,Frontal,0.2835562703942983,0.6875563707028259,0.07590162213282195,0.07590162213282195
PLANT_KINGDOM_INDOOR,Alpha→BetaH,Temporal,0.3275654402277941,0.6741261748563321,0.046263909438877926,0.046263909438877926
PLANT_KINGDOM_INDOOR,Alpha→BetaH,Central,0.282599724904783,0.6205883014058527,-0.000390731142378975,-0.000390731142378975
PLANT_KINGDOM_INDOOR,Alpha→BetaH,Parietal,0.28308809790882855,0.3642134448451705,0.07104584242820824,0.07104584242820824
PLANT_KINGDOM_INDOOR,Alpha→BetaH,Occipital,0.2818142128052563,0.17053397056942973,0.06826980444130873,0.06826980444130873
PLANT_KINGDOM_OUTDOOR,Theta→Gamma,Frontal,0.3282188040555568,0.7767171240009103,0.04594195233566062,0.04594195233566062
PLANT_KINGDOM_OUTDOOR,Theta→Gamma,Temporal,0.2809607951772614,0.7472726709706579,-0.00014812755717097392,-0.00014812755717097392
PLANT_KINGDOM_OUTDOOR,Theta→Gamma,Central,0.28169433269455685,0.6992760925927737,-0.0006891472559494294,-0.0006891472559494294
PLANT_KINGDOM_OUTDOOR,Theta→Gamma,Parietal,0.28149124614428545,0.6049891223592985,0.00025357325647007434,0.00025357325647007434
PLANT_KINGDOM_OUTDOOR,Theta→Gamma,Occipital,0.28335471521364136,0.4162883281931388,0.0022025688656993614,0.0022025688656993614
PLANT_KINGDOM_OUTDOOR,Alpha→BetaH,Frontal,0.2812464818564296,0.7767171240009103,0.07359183359495322,0.07359183359495322
PLANT_KINGDOM_OUTDOOR,Alpha→BetaH,Temporal,0.3806254549295205,0.7472726709706579,0.09932392414060431,0.09932392414060431
PLANT_KINGDOM_OUTDOOR,Alpha→BetaH,Central,0.2820745870000749,0.6992760925927737,-0.0009158690470871256,-0.0009158690470871256
PLANT_KINGDOM_OUTDOOR,Alpha→BetaH,Parietal,0.28124301292921206,0.6049891223592985,0.06920075744859175,0.06920075744859175
PLANT_KINGDOM_OUTDOOR,Alpha→BetaH,Occipital,0.24156863384158248,0.4162883281931388,0.02802422547763489,0.02802422547763489
