Band,Region,BaselineMedian
Alpha,Central,0.92622848327598
Alpha,Frontal,0.9899248543148638
Alpha,Occipital,0.9525954749845132
Alpha,Parietal,0.9436786969069928
Alpha,Temporal,0.9654853165238344
BetaH,Central,0.9337055424570576
BetaH,Frontal,0.9917502019220816
BetaH,Occipital,0.9533818247542952
BetaH,Parietal,0.959837284858826
BetaH,Temporal,0.9288385963601384
BetaL,Central,0.9423041813361672
BetaL,Frontal,0.990808395370336
BetaL,Occipital,0.967875724305763
BetaL,Parietal,0.9555133914302532
BetaL,Temporal,0.9163832031707024
Gamma,Central,0.9301900094974436
Gamma,Frontal,0.9893420337863698
Gamma,Occipital,0.920716794694078
Gamma,Parietal,0.96151212854962
Gamma,Temporal,0.974172253583864
Theta,Central,0.937393104900785
Theta,Frontal,0.9908334164765492
Theta,Occipital,0.9664612510757298
Theta,Parietal,0.9601553467710928
Theta,Temporal,0.9418703928023224
